SMILES,Binary Activity
B.C1COCCN1,0
BrCBr,0
BrCC(Br)c1ccccc1,0
BrCCCCBr,0
Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,0
Brc1cc(Br)cc(Br)c1,0
Brc1ccc(Br)cc1,0
Brc1ccc(Oc2ccccc2)cc1,0
Brc1ccccn1,0
Brc1nc2ccccc2s1,0
C#CC(O)CCC,0
C#CC1(O)CCCCC1,0
C#CC1=C(C#C)C(=O)C(Cl)=C(Cl)C1=O,0
C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,0
C#CCCCCCNC(=O)c1coc(C2C3CCC(O3)C2Cc2ccccc2CCC(=O)O)n1,1
C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21,0
C#CCO,0
C#CCOC(=O)/C=C(C)/C=C/CC(C)CCCC(C)C,0
C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,0
C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,0
C(=NC1CCCCC1)=NC1CCCCC1,0
C/C(=N\C#N)N(C)Cc1ccc(Cl)nc1,0
C/C(=N\NC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)O,0
C/C(=N\OCCCCC(=O)O)C(Cc1ccccc1)n1ccnc1,0
C/C(Cc1ccccc1CCC(=O)O)=C(\C)c1nc(C(=O)NCCc2ccc(Cl)cc2)co1,1
C/C=C/C=C/C(=O)O,0
C/C=C/C=C/C(=O)[O-],0
C/C=C/c1ccc(OC)cc1,0
C/N=C(/NC#N)Nc1cccc(/C(=C\CCCC(=O)O)c2cccnc2)c1,1
C1=CCCC1,0
C1CC2OC2CC1C1CO1,0
C1CCC(SSC2CCCCC2)CC1,0
C1CCCCC1,0
C1CCOC1,0
C1CCSC1,0
C1CNCCN1,0
C1N2CN3CN1CN(C2)C3,0
C=C(C#N)C(=O)OCC,0
C=C(C)C(=O)OCC(C)C,0
C=C(C)C(=O)OCC(CC)(COC(=O)C(=C)C)COC(=O)C(=C)C,0
C=C(C)C(=O)OCC(CC)CCCC,0
C=C(C)C(=O)OCC1CCCO1,0
C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0
C=C(C)C(=O)OCCCCCCCCCCCC,0
C=C(C)C(=O)OCCC[Si](OC)(OC)OC,0
C=C(C)C(=O)OCCN(C)C,0
C=C(C)C(=O)OCCOC(=O)C(=C)C,0
C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,0
C=C(C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C,0
C=C(C)C(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C,0
C=C(C)C(=O)O[Sn](CCCC)(CCCC)CCCC,1
C=C(C)C(N)=O,0
C=C(C)C1CC=C(C)C(OC(C)=O)C1,0
C=C(C)C1CC=C(C)CC1,0
C=C(C)CCCC,0
C=C(C)CCO,0
C=C(C)OC(C)=O,0
C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,0
C=C(Cl)CCl,0
C=C(Cl)Cl,0
C=C(NC(=O)c1ccc(/C(=C\CCCCC(=O)O)c2cccnc2)cc1)C(=O)NCCCCC1CCCCC1,1
C=C1CC[C@H]2O[C@]2(C)CC[C@@H]2[C@@H]1CC2(C)C,0
C=CC(=C)CC/C=C(\C)CCC=C(C)C,0
C=CC(=C)CCC=C(C)C,0
C=CC(=O)N(C)C,0
C=CC(=O)NCNC(=O)C=C,0
C=CC(=O)NCOCCCC,0
C=CC(=O)OCC(C)OCC(C)OCC(C)OC(=O)C=C,0
C=CC(=O)OCC(CC)(COC(=O)C=C)COC(=O)C=C,0
C=CC(=O)OCC(CC)CCCC,0
C=CC(=O)OCCCC,0
C=CC(=O)OCCCCCCOC(=O)C=C,0
C=CC(=O)OCCN(CC)CC,0
C=CC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C,0
C=CC(C)C#N,0
C=CC(Cl)CCl,0
C=CC/C=C/C/C=C/C/C=C/C,0
C=CC1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,0
C=CC=CC=CCCCCC,0
C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,0
C=CCC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O,0
C=CCCCCCCCCC=O,0
C=CCCCCCCCCCC,0
C=CCCl,0
C=CCN(CC=C)C(=O)C(Cl)Cl,0
C=CCOC(=O)C(=C)C,0
C=CCOC(=O)C(C)(C)OC(=O)c1cc(-n2c(=O)cc(C(F)(F)F)n(C)c2=O)ccc1Cl,0
C=CCOC(=O)CC(C)C,0
C=CCOC(=O)CCCCCC,0
C=CCOC(=O)c1ccccc1C(=O)OCC=C,0
C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl,0
C=CCOC(N)=O,0
C=CCOCC(O)CCl,0
C=CCOCC(O)CO,0
C=CCOc1c(Br)cc(Br)cc1Br,0
C=CCSCC1C2CCC(O2)C1C/C=C\CCCC(=O)O,1
C=CCc1cc(S(=O)(=O)c2ccc(O)c(CC=C)c2)ccc1O,1
C=CCc1ccc(O)c(OC)c1,0
C=CCc1ccc(OC)c(OC)c1,0
C=CCc1ccc2c(c1)OCO2,0
C=CN1CCCC1=O,0
C=COCCCC,0
C=COCCCl,0
C=C[Si](OCC)(OCC)OCC,0
C=Cc1cc(S(C)(=O)=O)cc2c3c(n(Cc4ccc(Cl)cc4)c12)C(CC(=O)O)CC3,1
C=Cc1ccc(O)c(OC)c1,0
C=Cc1cccc(C)c1,0
CC(/C(=N/OCCCCC(=O)O)c1ccccc1)n1ccnc1,0
CC(/C(=N\OCCCCC(=O)O)c1ccccc1)n1ccnc1,0
CC(=N[Si](C)(C)C)O[Si](C)(C)C,0
CC(=O)C(C)=O,0
CC(=O)C(C)C,0
CC(=O)C(C)O,0
CC(=O)C(Cl)C(=O)N(C)C,0
