"SMILES","Binary Activity","STANDARD_VALUE","STANDARD_TYPE"
"B.C1COCCN1",0,,
"BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br",0,,
"BrCBr",0,,
"BrCC(Br)c1ccccc1",0,,
"Brc1cc(Br)cc(Br)c1",0,,
"Brc1ccc(Br)cc1",0,,
"Brc1ccc(N2CCN(CCCN3CCC(Cc4ccccc4)CC3)CC2)cc1",1,610.0,"IC50"
"Brc1ccc(Oc2ccccc2)cc1",0,,
"Brc1cccc(O[C@H]2C[C@@H]3CC[C@H](C2)N3)c1",1,13.0,"IC50"
"Brc1ccccc1O[C@@H](c1ccccc1)[C@H]1CNCCO1",1,17.0,"Activity"
"Brc1ccccn1",0,,
"C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1",0,,
"C#CC(O)C(CC)CCCC",0,,
"C#CC(O)CCC",0,,
"C#CC1(O)CCCCC1",0,,
"C#CC1=C(C#C)C(=O)C(Cl)=C(Cl)C1=O",0,,
"C#CCC(C(=O)c1ccc(C)cc1)N1CCCC1",1,2225.0,"IC50, Ki"
"C#CCN(C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN)C1CC1",1,4.4,"IC50"
"C#CCN(C)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN",1,110.0,"IC50"
"C#CCN(CC#C)C(=O)[C@@]1(c2ccc3c(c2)CCO3)C[C@H]1CN",1,17.0,"IC50"
"C#CCN(CC#C)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN",1,1.7,"IC50"
"C#CCN(CC#C)C(=O)[C@@]1(c2ccc3c(c2)OCO3)C[C@H]1CN",1,7.6,"IC50"
"C#CCN(CC#C)C(=O)[C@@]1(c2cccs2)C[C@H]1CN",1,6.0,"IC50"
"C#CCN(CC#C)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN",1,8.2,"IC50"
"C#CCN(CC(=C)F)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN",1,4.0,"IC50"
"C#CCN(CC)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN",1,5.9,"IC50"
"C#CCN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN",1,19.0,"IC50"
"C#CCN(CC1CC1)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN",1,3.9,"IC50"
"C#CCN(CC=C)C(=O)[C@@]1(c2ccc3c(c2)CCO3)C[C@H]1CN",1,14.0,"IC50"
"C#CCN(CCOC)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN",1,64.0,"IC50"
"C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21",0,,
"C#CCN1CC[C@@H](Cc2ccc(F)cc2)C[C@@H]1CCCNC(=O)Nc1cc(C(C)=O)cc(C(C)=O)c1",1,524.0,"Ki"
"C#CCO",0,,
"C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1",0,,
"C#C[C@H]1[C@@H](c2ccc(C)cc2)C[C@@H]2CC[C@H]1N2C",1,150.0,"Ki"
"C#C[C@H]1[C@@H](c2ccc(Cl)cc2)C[C@@H]2CC[C@H]1N2C",1,75.0,"Ki"
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C",0,,
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC",0,,
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C",1,5674.5,"IC50, Ki"
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C",1,1376.5,"IC50, Ki"
"C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1",1,2820.0,"IC50, Ki"
"C(=NC1CCCCC1)=NC1CCCCC1",0,,
"C/C(=N\C#N)N(C)Cc1ccc(Cl)nc1",0,,
"C/C(=N\NC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)O",0,,
"C/C=C/C=C/C(=O)[O-]",0,,
"C/C=C/c1ccc(OC)cc1",0,,
"C1=C(Cc2ccccc2)CCN(CCC(c2csc3ccccc23)N2CCNCC2)C1",1,635.4,"IC50"
"C1=CCC(c2cc3ccccc3o2)CNC1",1,46.0,"Ki"
"C1=CCC(c2ccc3ccccc3c2)CNC1",1,25.0,"Ki"
"C1=CCCC1",0,,
"C1=CCCC=CCCC=CCC1",0,,
"C1CC2OC2CC1C1CO1",0,,
"C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1",1,3280.6,"Ki, IC50"
"C1CCC(SSC2CCCCC2)CC1",0,,
"C1CCSC1",0,,
"C1CNCCN1",0,,
"C1COCO1",0,,
"C1N2CN3CN1CN(C2)C3",0,,
"C=C(/C=C/C)C1=C(C)CCCC1(C)C",0,,
"C=C(C#N)C(=O)OCC",0,,
"C=C(C)C(=O)OCC(CC)(COC(=O)C(=C)C)COC(=O)C(=C)C",0,,
"C=C(C)C(=O)OCC(CC)CCCC",0,,
"C=C(C)C(=O)OCC1CCCO1",0,,
"C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0,,
"C=C(C)C(=O)OCCCCCC",0,,
"C=C(C)C(=O)OCCCCCCCCCCCC",0,,
"C=C(C)C(=O)OCCC[Si](OC)(OC)OC",0,,
"C=C(C)C(=O)OCCN(C)C",0,,
"C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C",0,,
"C=C(C)C(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C",0,,
"C=C(C)C(=O)O[Sn](CCCC)(CCCC)CCCC",1,,
"C=C(C)C(N)=O",0,,
"C=C(C)C1CC=C(C)C(OC(C)=O)C1",0,,
"C=C(C)CCCC",0,,
"C=C(C)CCO",0,,
"C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]",1,,
"C=C(C)OC(C)=O",0,,
